% @article{Kampichler00:jrnl,
% author = {Kampichler, C. and D\v{z}eroski,S. and Wieland, R.{
% title = {Application of machine learning techniques to the analysis of soil ecological data bases: relationships between habitat features and Collembolan community characteristics},
% journal = {Soil Biology and Biochemistry},
% volume = {32},
% number = {2},
% pages = {197 - 209},
% year = {2000},
% issn = {0038-0717},
% doi = {DOI: 10.1016/S0038-0717(99)00147-9},
%}


@relation collembolaV2

@attribute x numeric
@attribute y numeric
@attribute Pcalextract numeric
@attribute Kcalextract numeric
@attribute Corg numeric
@attribute density numeric
@attribute Gefuegeform1 {kru,koh,sub,pol,ein,pla}
@attribute Gefuegeform2 {2,3,4}
@attribute Gefuegegross1 {kru,koh,sub,pol,ein,pla}
@attribute Gefuegegross2 {1,2,3,4}
@attribute beimengungen {0,1,2,3}
@attribute earthwormtubes {0,1}
@attribute PS2 numeric
@attribute PS2dot8 numeric
@attribute PS4 numeric
@attribute PS6dot3 numeric
@attribute PS12dot5 numeric
@attribute PS20 numeric
@attribute PS28 numeric
@attribute PS40 numeric
@attribute PS50 numeric
@attribute PS63 numeric
@attribute PS100 numeric
@attribute PS200 numeric
@attribute PS630 numeric
@attribute logMedPS numeric
@attribute Skel6dot3 numeric
@attribute Skel20 numeric
@attribute Skel63 numeric
@attribute nutzbFeldkap numeric
@attribute soiltype {B,D,K,L,Y,G,DB,BS,SD,BAG,SB,SK,GA,GB,AB,BA}
@attribute elevation numeric
@attribute slope numeric
@attribute angle numeric
@attribute fieldtype {Acker,Wiese,Weide,Hopfen}
@attribute basalMR numeric
@attribute SIR numeric
@attribute pH numeric
@attribute soilmoisture numeric
@attribute PercC numeric
@attribute PercN numeric
@attribute kraeuter numeric
@attribute leguminosen numeric
@attribute suessgraeser numeric
@attribute deckung numeric
@attribute deckungWildkraut numeric
@attribute hoeheWildkraut numeric
@attribute class_spec numeric
@attribute class_ind numeric
@attribute class_fols numeric

@data
120,190,0.374,0.096,21.6,1.24,kru,?,sub,3,?,0,0.159,0.183,0.217,0.275,0.377,0.446,0.491,0.537,0.564,0.59,0.662,0.761,0.949,1.602,0.047,0.107,0.107,128.262,DB,493.5,4.88,247.5,Acker,1.4,20.56,6.33,22.45,1.52,0.155,?,?,?,?,0,0,2,7,0
120,200,0.108,0.031,22,1.29,sub,3,pol,?,0,0,0.271,0.292,0.323,0.378,0.482,0.562,0.617,0.675,0.71,0.744,0.847,0.914,0.974,1.301,0.011,0.022,0.022,189.149,D,488.43,14.01,337.5,Acker,2.46,27.29,6.28,22.74,1.8,0.173,?,?,?,?,1,4,4,8,0
120,210,0.033,0.013,19,1.263,kru,?,?,?,0,0,0.138,0.16,0.195,0.26,0.395,0.493,0.554,0.61,0.641,0.67,0.741,0.836,0.975,1.447,0.023,0.051,0.051,150.968,B,481.62,10.37,0,Acker,?,?,5.82,26.82,2.15,0.195,?,?,?,?,1,2,2,4,0
120,220,0.108,0.048,10.635,1.42,sub,3,kru,?,0,0,0.126,0.143,0.168,0.212,0.291,0.346,0.381,0.417,0.437,0.455,0.51,0.646,0.964,2,0.069,0.142,0.142,125.32,B,478.8,9.61,67.5,Acker,1.83,19.16,5.5,20.08,1.29,0.13,?,?,?,?,2,2,2,3,1
120,230,0.191,0.048,14.9,1.569,sub,3,pla,?,0,0,0.114,0.134,0.163,0.214,0.303,0.361,0.398,0.436,0.458,0.479,0.536,0.665,0.907,2,0.137,0.314,0.314,99.794,B,479.63,9.52,112.5,Acker,?,?,?,?,?,?,?,?,?,?,7,2,2,4,1
120,300,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,449.8,3.96,337.5,Acker,?,?,?,?,?,?,?,?,?,?,1,2,0,0,0
130,100,0.166,0.057,11.7,1.574,pol,4,pla,?,0,0,0.079,0.089,0.105,0.133,0.182,0.214,0.234,0.254,0.265,0.276,0.311,0.408,0.93,?,0.072,0.187,0.213,91,B,493.7,4.06,?,Acker,?,?,?,?,?,?,?,?,?,?,2,2,3,12,4
130,120,0.174,0.114,16.476,1.59,kru,?,sub,3,?,0,0.102,0.114,0.131,0.16,0.209,0.243,0.268,0.294,0.312,0.329,0.39,0.5,0.804,?,0.231,0.372,0.372,57.456,B,494.96,12.19,22.5,Acker,?,?,?,?,1.22,0.129,?,?,?,?,1,1,1,3,0
130,130,0.183,0.065,14.1,1.355,kru,?,pol,3,?,0,0.179,0.205,0.243,0.308,0.419,0.495,0.546,0.598,0.627,0.654,0.728,0.802,0.956,1.447,0.036,0.064,0.064,131.896,DB,491.35,9.59,67.5,Acker,?,?,?,?,1.58,0.172,?,?,?,?,1,5,5,8,0
130,140,0.224,0.092,14.113,1.505,kru,?,pol,3,?,0,0.193,0.216,0.249,0.304,0.398,0.464,0.51,0.56,0.589,0.615,0.681,0.766,0.946,1.447,0.031,0.037,0.037,116.834,B,490.98,9.06,90,Acker,?,?,?,?,1.6,0.176,?,?,?,?,1,3,7,23,0
130,150,0.216,0.065,12.295,1.571,kru,?,sub,3,?,0,0.131,0.155,0.189,0.246,0.34,0.398,0.436,0.477,0.5,0.521,0.573,0.668,0.92,1.799,0.059,0.09,0.09,102.369,B,493.43,8.25,112.5,Acker,1.4,17.89,5.91,18.52,1.24,0.124,?,?,?,?,5,4,5,15,7
130,160,0.208,0.065,13.4,1.586,kru,?,sub,3,?,0,0.12,0.142,0.173,0.226,0.317,0.375,0.412,0.452,0.474,0.494,0.543,0.657,0.907,2,0.065,0.099,0.099,88.04,B,495.64,4.83,135,Acker,?,?,6.14,19.07,1.41,0.132,?,?,?,?,5,5,2,7,0
130,170,0.141,0.044,11.1,1.598,kru,?,ein,?,?,0,0.077,0.087,0.102,0.13,0.18,0.214,0.236,0.258,0.27,0.283,0.319,0.45,0.865,?,0.198,0.325,0.325,60.938,B,496.86,0.29,135,Acker,?,?,5.88,15.07,1.28,0.125,?,?,?,?,4,5,1,1,0
130,180,0.108,0.048,11.5,1.485,kru,?,?,?,?,0,0.098,0.112,0.132,0.17,0.236,0.276,0.299,0.322,0.335,0.347,0.386,0.508,0.895,2.301,0.102,0.169,0.169,99.786,B,494.02,8.46,45,Acker,1.76,12.35,5.88,6.95,1.4,0.133,?,?,?,?,15,3,4,16,1
130,190,0.257,0.065,15.214,1.372,kru,?,sub,3,?,0,0.204,0.228,0.263,0.32,0.422,0.495,0.545,0.598,0.629,0.658,0.748,0.829,0.949,1.447,0.044,0.132,0.132,127.642,B,491.34,11.27,67.5,Acker,?,?,?,?,1.3,0.148,?,?,?,?,1,3,3,3,0
130,210,0.075,0.013,21.291,1.312,sub,3,kru,?,0,0,0.251,0.271,0.301,0.354,0.461,0.542,0.596,0.649,0.678,0.705,0.784,0.866,0.976,1.301,0.073,0.114,0.139,143.1,B,481.13,12.25,0,Acker,2.83,39.61,5.7,29.34,2.32,0.239,?,?,?,?,1,4,1,3,0
130,220,0.149,0.031,12.5,?,kru,?,?,?,2,0,0.113,0.133,0.162,0.214,0.305,0.362,0.396,0.431,0.452,0.473,0.54,0.689,0.957,2,0.036,0.049,0.049,148.677,K,474.77,10.7,22.5,Acker,1.52,15.71,6.39,19.26,1.26,0.12,?,?,?,?,2,3,3,10,4
130,230,0.199,0.087,15.9,1.368,sub,3,?,?,0,0,0.118,0.134,0.16,0.204,0.287,0.341,0.373,0.404,0.423,0.44,0.493,0.618,0.909,2.301,0.114,0.253,0.253,113.742,B,472.94,13.19,90,Acker,?,?,5.36,20.92,1.65,0.166,?,?,?,?,6,3,0,0,0
130,240,0.174,0.074,11.571,1.501,kru,?,?,?,0,0,0.062,0.072,0.088,0.115,0.167,0.206,0.233,0.261,0.278,0.293,0.34,0.49,0.936,?,0.158,0.277,0.31,47.341,B,482.33,12.66,157.5,Acker,?,?,?,?,1.41,0.144,?,?,?,?,20,5,1,1,1
130,250,0.199,0.044,14.3,1.447,kru,?,?,?,0,0,0.078,0.088,0.103,0.13,0.18,0.214,0.236,0.259,0.272,0.284,0.328,0.477,0.873,?,0.164,0.351,0.351,54.424,B,482.26,4.78,0,Acker,?,?,?,?,1.46,0.143,?,?,?,?,1,2,2,4,0
130,260,0.174,0.074,18.4,1.49,kru,?,ein,?,0,0,0.063,0.068,0.077,0.094,0.128,0.155,0.174,0.195,0.207,0.219,0.26,0.347,0.64,?,0.31,0.57,0.57,37.068,B,479.8,5.54,0,Acker,0.83,7.62,4.72,12.76,0.96,0.081,?,?,?,?,3,1,2,5,0
130,270,0.224,0.048,15.092,1.377,kru,?,?,?,0,0,0.135,0.153,0.18,0.227,0.311,0.371,0.41,0.451,0.475,0.497,0.567,0.685,0.903,2,0.121,0.245,0.245,94.752,B,477.39,5.78,0,Acker,1.65,14.31,4.87,18.83,1.4,0.122,?,?,?,?,5,2,2,10,0
130,300,0.091,0.035,33.7,1.131,?,?,?,?,?,?,0.169,0.181,0.201,0.238,0.319,0.386,0.435,0.486,0.517,0.544,0.616,0.748,0.968,1.699,0.024,0.033,0.033,?,?,449.72,7.55,337.5,Acker,?,?,?,?,2.7,0.262,?,?,?,?,1,1,1,7,7
140,120,0.224,0.07,16.804,1.29,kru,?,sub,3,?,0,0.192,0.218,0.253,0.309,0.409,0.48,0.528,0.575,0.6,0.621,0.677,0.756,0.977,1.447,0.026,0.038,0.038,110.857,BS,492.17,5.07,22.5,Acker,1.43,14.71,6.23,15.1,1.6,0.156,?,?,?,?,1,2,7,13,0
140,130,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,487.36,5.95,67.5,?,1.58,18.46,6.36,16.73,1.43,0.14,?,?,?,?,3,3,4,23,1
140,140,0.141,0.079,13.6,1.357,kru,?,pol,3,?,0,0.179,0.202,0.236,0.297,0.411,0.489,0.54,0.594,0.625,0.651,0.708,0.773,0.95,1.447,0.038,0.059,0.059,156.418,K,487.28,6.77,112.5,Acker,1.58,19.7,6.01,16.87,1.36,0.135,?,?,?,?,2,3,6,41,1
140,150,0.249,0.061,9.349,1.51,kru,?,sub,3,?,0,0.172,0.198,0.234,0.292,0.393,0.469,0.526,0.589,0.625,0.655,0.719,0.78,0.937,1.447,0.041,0.057,0.057,104.291,B,489.94,9.19,112.5,Acker,1.9,19.45,6.11,20.78,1.23,0.121,?,?,?,?,7,3,4,19,1
140,160,0.133,0.048,10.808,1.535,kru,?,pol,3,?,0,0.175,0.196,0.226,0.278,0.368,0.431,0.477,0.526,0.554,0.579,0.64,0.715,0.942,1.602,0.043,0.074,0.074,100.764,B,493.91,10.03,135,Acker,1.5,21.09,6.3,17.71,1.37,0.144,?,?,?,?,3,2,3,19,0
140,170,0.149,0.022,11.9,1.534,kru,?,sub,3,?,0,0.174,0.195,0.223,0.269,0.346,0.398,0.436,0.475,0.498,0.518,0.574,0.668,0.919,1.799,0.059,0.073,0.073,113.007,B,496.34,7.01,22.5,Acker,?,?,6.12,16.01,1.32,0.128,?,?,?,?,5,5,4,39,2
140,180,0.224,0.07,15.4,1.635,kru,?,sub,3,?,0,0.14,0.158,0.186,0.232,0.312,0.366,0.402,0.437,0.458,0.476,0.532,0.647,0.947,2,0.062,0.09,0.102,105.597,B,489.53,14.69,22.5,Acker,?,?,?,?,1.33,0.139,?,?,?,?,1,2,6,26,0
140,190,0.299,0.07,13,1.443,kru,?,sub,3,?,0,0.204,0.23,0.267,0.328,0.425,0.485,0.522,0.559,0.581,0.602,0.666,0.776,0.953,1.447,0.027,0.057,0.057,160.139,B,484.77,12.3,67.5,Acker,1.1,15.18,6.28,18.1,1.3,0.129,?,?,?,?,1,3,2,9,0
140,200,0.183,0.052,18.1,1.38,kru,?,pol,4,?,0,0.244,0.275,0.32,0.396,0.536,0.629,0.684,0.735,0.762,0.786,0.851,0.904,0.971,1.097,0.008,0.013,0.013,182.503,SD,485.42,9.64,67.5,Acker,2.04,29.4,6.3,25.76,1.65,0.154,?,?,?,?,1,1,1,1,0
140,210,0.1,0.009,19,1.306,kru,?,sub,2,0,0,0.168,0.191,0.227,0.292,0.413,0.493,0.54,0.584,0.609,0.632,0.696,0.795,0.948,1.447,0.076,0.137,0.137,92.931,B,479.59,16.97,0,Acker,?,?,6.06,16.74,1.61,0.16,?,?,?,?,4,5,3,17,0
140,230,0.266,0.035,13.3,1.359,kru,?,sub,3,0,0,0.102,0.12,0.147,0.196,0.281,0.333,0.364,0.395,0.413,0.43,0.484,0.624,0.936,2.301,0.084,0.153,0.153,123.871,K,468.66,4.46,112.5,Acker,1.61,19.68,5.65,18.96,1.27,0.112,?,?,?,?,5,3,6,35,11
140,240,0.066,0.039,18.5,1.29,kru,?,?,?,0,0,0.082,0.089,0.101,0.123,0.17,0.208,0.237,0.269,0.287,0.304,0.362,0.577,0.94,2.301,0.147,0.306,0.306,102.11,B,475.92,27.5,112.5,Wiese,?,?,?,?,2.15,0.218,?,?,?,?,0,0,4,36,16
140,250,0.174,0.031,23.4,1.103,kru,?,?,?,0,0,0.114,0.125,0.141,0.173,0.236,0.283,0.312,0.34,0.355,0.369,0.417,0.564,0.904,2.301,0.143,0.26,0.26,95.046,B,478.05,17.96,67.5,Wiese,?,?,?,?,2,0.205,?,?,?,?,5,2,6,35,16
140,260,0.282,0.052,17.3,1.307,sub,3,?,?,0,0,0.125,0.142,0.167,0.213,0.296,0.352,0.388,0.425,0.446,0.465,0.516,0.628,0.9,2,0.131,0.225,0.225,127.266,B,477.03,10.29,67.5,Acker,1.59,17.86,5.06,18.06,1.35,0.127,?,?,?,?,5,2,1,10,0
140,270,0.266,0.044,10.7,?,sub,3,?,?,0,0,0.127,0.138,0.153,0.178,0.224,0.259,0.285,0.313,0.33,0.347,0.407,0.488,0.753,?,0.034,0.049,0.049,59.636,B,475.24,15.49,45,Acker,1.98,19.24,5.02,19.36,1.51,0.13,?,?,?,?,3,2,6,11,1
140,300,0.116,0.004,35.1,0.931,kru,?,?,?,0,0,0.15,0.164,0.186,0.225,0.305,0.37,0.418,0.47,0.501,0.53,0.604,0.707,0.942,1.699,0.065,0.101,0.101,146.778,BAG,449.86,7.11,0,Acker,?,?,?,?,3.56,0.327,?,?,?,?,1,3,3,8,3
150,120,0.174,0.017,14.2,1.355,kru,?,sub,3,?,0,0.189,0.214,0.248,0.303,0.392,0.449,0.487,0.526,0.55,0.572,0.635,0.731,0.955,1.602,0.033,0.048,0.048,124.759,B,490.09,11.82,22.5,Acker,2.62,17.57,6.16,13.26,1.31,0.119,?,?,?,?,3,5,5,22,0
150,130,0.299,0.07,13.7,1.411,kru,?,sub,3,?,0,0.205,0.232,0.27,0.331,0.43,0.491,0.529,0.568,0.592,0.613,0.67,0.762,0.953,1.447,0.035,0.046,0.046,174.17,SB,484.28,8.23,22.5,Acker,1.19,18.38,5.77,15.11,1.14,0.097,?,?,?,?,5,5,4,13,0
150,140,0.282,0.074,16.3,1.416,kru,?,sub,3,?,0,0.135,0.153,0.181,0.229,0.315,0.371,0.407,0.444,0.466,0.486,0.548,0.659,0.918,2,0.047,0.067,0.067,172.874,B,483.45,9.32,90,Acker,?,?,5.98,19.96,1.65,0.165,?,?,?,?,2,2,4,15,2
150,150,0.274,0.188,1,1.482,kru,?,sub,3,?,0,0.13,0.155,0.191,0.25,0.351,0.421,0.472,0.529,0.563,0.594,0.664,0.749,0.937,1.602,0.048,0.06,0.06,140.489,K,485.8,6.99,112.5,Acker,3.3,24.57,7.04,20.5,1.86,0.149,?,?,?,?,7,3,6,34,0
150,160,0.282,0.079,13.598,1.435,kru,?,sub,3,?,0,0.134,0.15,0.173,0.211,0.276,0.322,0.355,0.389,0.409,0.427,0.482,0.598,0.925,2.301,0.112,0.265,0.265,92.913,B,488.87,16.54,112.5,Acker,?,?,5.89,17.08,1.45,0.146,?,?,?,?,5,3,4,15,2
150,170,0.224,0.057,11.5,1.423,kru,?,pol,3,?,0,0.132,0.152,0.18,0.223,0.299,0.357,0.399,0.445,0.471,0.495,0.561,0.659,0.927,2,0.083,0.171,0.171,100.038,B,493.25,10.03,45,Acker,1.6,18.87,6.5,16.04,1.01,0.094,?,?,?,?,2,3,1,3,0
150,180,0.158,0.057,?,1.356,kru,?,sub,3,?,0,0.141,0.162,0.193,0.247,0.341,0.405,0.447,0.49,0.514,0.535,0.6,0.702,0.953,1.699,0.059,0.094,0.094,149.767,B,483.68,17.81,22.5,Acker,1.9,27.03,6.11,16.44,1.53,0.146,?,?,?,?,1,1,2,9,0
150,190,0.324,0.105,13.7,1.508,?,?,?,?,?,0,0.185,0.208,0.243,0.302,0.401,0.463,0.499,0.536,0.558,0.578,0.642,0.768,0.963,1.602,0.031,0.058,0.058,173.395,K,477.61,14.42,45,Acker,1.8,19.28,6.22,18.31,1.19,0.118,?,?,?,?,1,1,3,9,0
150,200,0.249,0.065,15.2,1.464,kru,?,sub,3,?,0,0.126,0.143,0.168,0.211,0.285,0.334,0.365,0.397,0.416,0.434,0.49,0.599,0.88,2.301,0.16,0.261,0.261,132.805,B,478.6,14.85,90,Acker,1.67,19.9,5.88,13.85,1.47,0.149,?,?,?,?,8,2,6,11,0
150,210,0.149,0.083,15.5,1.375,ein,?,kru,?,?,0,0.094,0.103,0.117,0.142,0.188,0.219,0.239,0.258,0.27,0.282,0.324,0.47,0.801,?,0.237,0.547,0.573,64.283,B,477.61,13.22,45,Acker,?,?,5.8,16.49,1.51,0.145,?,?,?,?,3,1,7,39,3
150,220,0.183,0.074,15.4,1.496,kru,?,sub,3,?,0,0.11,0.125,0.149,0.193,0.276,0.331,0.363,0.394,0.413,0.431,0.488,0.636,0.909,2.301,0.119,0.231,0.246,121.534,B,471.06,13.43,22.5,Acker,?,?,5.33,14.48,1.11,0.105,?,?,?,?,1,1,5,13,0
150,230,0.166,0.092,14.062,?,kru,?,?,?,0,0,0.139,0.156,0.179,0.217,0.279,0.321,0.348,0.378,0.395,0.412,0.463,0.559,0.9,2.301,0.034,0.049,0.049,150.394,K,465.01,7.32,45,Hopfen,?,?,5.57,17.03,1.5,0.147,?,?,?,?,3,2,0,0,0
150,240,0.05,0.057,17.4,1.429,kru,?,pol,2,0,0,0.166,0.179,0.199,0.235,0.303,0.353,0.388,0.424,0.445,0.465,0.526,0.644,0.935,2,0.065,0.098,0.098,93.598,B,465.43,8.48,67.5,Wiese,?,?,?,?,1.82,0.19,?,?,?,?,5,3,2,4,0
150,250,0.058,0.031,24.4,1.236,sub,3,?,?,0,0,0.165,0.18,0.203,0.244,0.328,0.393,0.438,0.485,0.512,0.537,0.611,0.732,0.929,1.699,0.037,0.084,0.084,132.806,K,466.35,22.92,112.5,?,?,?,?,?,1.26,0.133,?,?,?,?,0,0,5,24,1
150,260,0.315,0.07,15,1.355,kru,?,?,?,0,0,0.158,0.177,0.204,0.249,0.325,0.378,0.413,0.451,0.474,0.495,0.555,0.669,0.928,2,0.061,0.114,0.114,121.031,B,470.67,17.73,90,Acker,?,?,5.18,16.34,1.46,0.143,?,?,?,?,3,2,0,0,0
150,270,0.282,0.052,15.9,1.455,kru,?,?,?,0,0,0.156,0.179,0.213,0.269,0.364,0.427,0.469,0.511,0.536,0.559,0.624,0.748,0.952,1.602,0.049,0.103,0.103,51.198,B,468.52,12.15,22.5,Acker,1.5,22.87,5.83,18.71,1.49,0.147,?,?,?,?,1,1,2,4,0
150,300,?,?,?,?,kru,?,?,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,115.243,BAG,449.27,3.7,0,Acker,?,?,?,?,5.07,0.391,?,?,?,?,0,0,1,1,0
160,120,0.1,0.017,12.8,1.446,kru,?,sub,3,?,0,0.224,0.25,0.287,0.35,0.452,0.517,0.559,0.602,0.627,0.648,0.696,0.777,0.943,1.301,0.019,0.031,0.031,133.542,SB,488.22,9.69,0,Acker,1.62,20.86,5.99,16.54,1.2,0.105,?,?,?,?,1,1,3,7,0
160,130,0.224,0.035,13.8,1.44,kru,?,sub,3,?,0,0.228,0.255,0.293,0.357,0.462,0.528,0.571,0.618,0.645,0.669,0.722,0.791,0.946,1.301,0.021,0.039,0.039,153.645,SB,482.02,8.71,0,Acker,?,?,?,?,1.36,0.127,?,?,?,?,8,2,9,79,15
160,140,0.191,0.048,12.5,1.541,kru,?,sub,3,?,0,0.198,0.224,0.26,0.318,0.412,0.473,0.514,0.557,0.583,0.606,0.666,0.747,0.944,1.447,0.044,0.067,0.067,159.049,B,479.35,6.35,67.5,Acker,2.03,23.51,6.02,18.47,1.35,0.135,?,?,?,?,8,3,3,15,0
160,150,0.249,0.079,15.4,1.411,kru,?,sub,3,?,0,0.241,0.272,0.316,0.388,0.504,0.573,0.613,0.653,0.676,0.696,0.747,0.827,0.961,1.097,0.021,0.035,0.035,155.689,B,480.81,9.44,112.5,Acker,1.21,20.22,6.3,23.61,1.51,0.153,?,?,?,?,5,5,3,16,2
